,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers
0,1,1,0.6847855288287004,0.73955,13.126731634140015,13.451457738876343,0.01,100,0
1,1,2,0.45108842581510544,0.83525,11.826655626296997,25.394824266433716,0.01,100,0
2,1,3,0.4050916041930517,0.8508333333333333,12.465981721878052,37.937828540802,0.01,100,0
3,2,1,0.6048860735197862,0.7685333333333333,18.677999019622803,18.993382453918457,0.01,100,1
4,2,2,0.4009775066872438,0.8547833333333333,27.657589435577393,46.78522801399231,0.01,100,1
5,2,3,0.3631966430942217,0.8671166666666666,19.188462018966675,66.09879922866821,0.01,100,1
6,3,1,0.9941470970710119,0.6194833333333334,11.161484241485596,12.117003202438354,0.01,1000,0
7,3,2,0.5057496110598246,0.80855,11.879132509231567,24.08358931541443,0.01,1000,0
8,3,3,0.40860093335310615,0.8494,11.233443260192871,35.39253568649292,0.01,1000,0
9,4,1,0.9845718850692113,0.6159666666666667,11.260672092437744,12.289306879043579,0.01,1000,1
10,4,2,0.5406011114517848,0.7948666666666667,10.13346552848816,22.546173572540283,0.01,1000,1
11,4,3,0.44781719843546547,0.83395,9.966119766235352,32.61346626281738,0.01,1000,1
12,5,1,0.6089595909913381,0.76655,12.60293984413147,12.7445387840271,0.005,100,0
13,5,2,0.41008520205815635,0.8473166666666667,14.063491106033325,26.89281177520752,0.005,100,0
14,5,3,0.3599956995497147,0.8673666666666666,12.407253980636597,39.374691009521484,0.005,100,0
15,6,1,0.5825426986813546,0.7782833333333333,18.3978009223938,18.683016061782837,0.005,100,1
16,6,2,0.3773529118299484,0.8593333333333333,17.09299612045288,35.880579233169556,0.005,100,1
17,6,3,0.33032108341654143,0.8766666666666667,23.828548669815063,59.833069801330566,0.005,100,1
18,7,1,1.0479118565718333,0.60245,15.753113746643066,17.225444793701172,0.005,1000,0
19,7,2,0.6138750950495402,0.7655166666666666,13.23155426979065,30.55069136619568,0.005,1000,0
20,7,3,0.5232419898112615,0.8034333333333333,12.846827268600464,43.48591351509094,0.005,1000,0
21,8,1,0.998751574754715,0.6269833333333333,10.404262781143188,11.658530950546265,0.005,1000,1
22,8,2,0.5705100640654563,0.7803833333333333,12.519943714141846,24.296684741973877,0.005,1000,1
23,8,3,0.48489673684040707,0.8192666666666667,13.718835353851318,38.14312815666199,0.005,1000,1
24,9,1,0.7782156540453434,0.7062333333333334,13.558961153030396,13.755795240402222,0.001,100,0
25,9,2,0.49572546005249024,0.8140833333333334,14.232900619506836,28.07615828514099,0.001,100,0
26,9,3,0.41924575246870516,0.8462166666666666,13.534662008285522,41.69765377044678,0.001,100,0
27,10,1,0.7901568354169528,0.7041166666666666,39.88967823982239,40.251113414764404,0.001,100,1
28,10,2,0.5191710879405339,0.8069,22.41441822052002,62.80052423477173,0.001,100,1
29,10,3,0.4346690795570612,0.8444833333333334,23.04789423942566,85.97702860832214,0.001,100,1
30,11,1,1.6153148611386616,0.47345,13.249567985534668,14.352041482925415,0.001,1000,0
31,11,2,0.7481583078702291,0.71705,12.838434934616089,27.300127029418945,0.001,1000,0
32,11,3,0.6292096773783366,0.7564166666666666,17.181016445159912,44.59523105621338,0.001,1000,0
33,12,1,1.6125727951526643,0.49083333333333334,12.42038869857788,13.751864194869995,0.001,1000,1
34,12,2,0.7652787486712138,0.7072666666666667,13.871126890182495,27.757140398025513,0.001,1000,1
35,12,3,0.669168480237325,0.7434,12.562827110290527,40.448917627334595,0.001,1000,1
